
OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,Filter,MJD-OBS,Airmass
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T15:33:10.741,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T15:33:05,     0.000,,56408.648041,
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T15:33:58.386,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T15:33:05,     0.000,,56408.648592,
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T15:34:47.591,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T15:33:05,     0.000,,56408.649162,
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T15:35:35.306,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T15:33:05,     0.000,,56408.649714,
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T15:36:24.742,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T15:33:05,     0.000,,56408.650286,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:42:22.740,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.654430,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:43:23.636,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.655135,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:44:24.223,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.655836,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:45:25.259,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.656542,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:46:25.336,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.657238,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:47:26.362,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.657944,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:48:26.258,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.658637,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:49:26.245,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.004,,56408.659332,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:50:27.581,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.005,,56408.660041,
FLAT,,,60.A-9700(A),FEROS,CALIB,FLAT,ECHELLE,FEROS.2013-04-26T15:51:27.617,Apr 26 2013,FEROS_ech_cal_flat,2013-04-26T15:37:07,     8.004,,56408.660736,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:53:47.132,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:52:26,     3.005,,56408.662351,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:54:42.588,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:52:26,     3.005,,56408.662993,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:55:42.584,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:55:33,    15.005,,56408.663687,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:56:50.252,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:55:33,    15.005,,56408.664471,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:58:03.149,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:57:54,    30.005,,56408.665314,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T15:59:25.299,Apr 26 2013,FEROS_ech_cal_wave,2013-04-26T15:57:54,    30.005,,56408.666265,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:02:10.036,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:00:45,    18.005,,56408.668172,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:03:20.304,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:00:45,    18.005,,56408.668985,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:04:37.722,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:04:29,    75.004,,56408.669881,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:06:45.316,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:04:29,    75.005,,56408.671358,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:08:58.919,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:08:50,   150.005,,56408.672904,
WAVE,,,60.A-9700(A),FEROS,CALIB,WAVE,ECHELLE,FEROS.2013-04-26T16:12:19.812,Apr 26 2013,FEROS_ech_cal_ThAr_Ne,2013-04-26T16:08:50,   150.005,,56408.675229,
BIAS,,,60.A-9700(A),FEROS,CALIB,BIAS,ECHELLE,FEROS.2013-04-26T17:42:17.835,Apr 26 2013,FEROS_ech_cal_bias,2013-04-26T17:42:12,     0.000,,56408.737706,
